folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.12,3,kissmdd,notab,0.06,,0,,0.405,1,0,9615.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.12,3,minion,notab,0.1507,,0,0.149374,0.155,1,0,34079,0,6,0.000318,,,,
nlink-4,nlink-opt-4,opt.12,5,kissmdd,notab,0.08,,0,,0.736,1,0,10180.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.15,1,minion,tab,0.272286,0.051,0,0.250613,0.371,1,0,9242,0,7,0.001875,,,,
nlink-4,nlink-opt-4,opt.12,3,kissmdd,tab,0.16999999999999998,0.511,0,,2.396,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.15,3,gecode,tab,0.338,0.077,0,,0.311,1,0,18445,0,,,,,,9211
nlink-4,nlink-opt-4,opt.12,4,minion,notab,0.149069,,0,0.147951,0.121,1,0,34079,0,6,0.000282,,,,
nlink-4,nlink-opt-4,opt.12,4,chuffed,tab,0.145,0.09,0,,0.468,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.12,2,minion,tabnolim,0.152918,0.054,0,0.002632,0.457,1,0,67,0,6,0.009275,,,,
nlink-4,nlink-opt-4,opt.15,4,kissmdd,notab,0.21000000000000002,,0,,0.667,1,0,35662.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.15,5,minion,tabnolim,0.387318,0.14,0,0.017859,0.719,1,0,330,0,7,0.022824,,,,
nlink-4,nlink-opt-4,opt.12,2,ortools,tab,2.631,0.078,0,,0.78,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.12,2,minion,tab,0.186693,0.129,0,0.004678,0.654,1,0,67,0,6,0.013439,,,,
nlink-4,nlink-opt-4,opt.12,1,minion,tabnolim,0.147264,0.589,0,0.002701,1.83,1,0,67,0,6,0.008773,,,,
nlink-4,nlink-opt-4,opt.15,3,chuffed,tab,2.917,0.042,0,,0.784,1,0,945,0,,,,,,843
nlink-4,nlink-opt-4,opt.15,1,chuffed,tab,2.845,0.127,0,,1.008,1,0,945,0,,,,,,843
nlink-4,nlink-opt-4,opt.15,5,chuffed,tab,2.891,0.053,0,,2.113,1,0,945,0,,,,,,843
nlink-4,nlink-opt-4,opt.15,5,kissat,tabnolim,1.3,0.204,0,,1.874,1,0,642.0,0,,,0,2069922,413993,
nlink-4,nlink-opt-4,opt.15,2,ortools,tabnolim,5.983,0.227,0,,1.045,1,0,,0,,,,,,103
nlink-4,nlink-opt-4,opt.12,3,gecode,tab,0.215,0.072,0,,0.493,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.15,4,kissmdd,tab,1.8800000000000001,0.108,0,,0.896,1,0,201696.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.15,2,chuffed,notab,1.156,,0,,0.299,1,0,9593,0,,,,,,9290
nlink-4,nlink-opt-4,opt.15,4,gecode,tab,0.338,0.313,0,,0.833,1,0,18445,0,,,,,,9211
nlink-4,nlink-opt-4,opt.15,5,ortools,tabnolim,6.988,0.184,0,,0.969,1,0,,0,,,,,,103
nlink-4,nlink-opt-4,opt.12,3,ortools,tabnolim,2.122,0.097,0,,0.488,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.15,2,kissmdd,tab,2.1,0.08,0,,1.75,1,0,231188.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.12,1,chuffed,tab,0.138,0.055,0,,0.39,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,3,minion,tab,0.260479,0.043,0,0.240705,0.342,1,0,9242,0,7,0.001949,,,,
nlink-4,nlink-opt-4,opt.15,1,gecode,tabnolim,0.786,0.28,0,,1.539,1,0,617,0,,,,,,296
nlink-4,nlink-opt-4,opt.15,4,gecode,tabnolim,0.542,0.136,0,,0.786,1,0,617,0,,,,,,296
nlink-4,nlink-opt-4,opt.12,4,gecode,notab,0.189,,0,,0.154,1,0,44094,0,,,,,,22040
nlink-4,nlink-opt-4,opt.12,1,kissmdd,tabnolim,0.16999999999999998,0.194,0,,2.189,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.15,4,minion,notab,1.18006,,0,1.17758,0.373,1,0,201743,0,7,0.000481,,,,
nlink-4,nlink-opt-4,opt.15,5,kissat,tab,1.6,0.036,0,,0.893,1,0,82588.0,0,,,0,158666,26681,
